Ref,Val,Package,PosX,PosY,Rot,Side
"Batt_Pin1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",186.475000,-100.100000,0.000000,top
"C2","10u","CP_EIA-3528-12_Kemet-T_HandSolder",167.500000,-93.600000,0.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.650000,-75.562500,-90.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.300000,-80.562500,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.650000,-84.562500,180.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.650000,-71.812500,0.000000,top
"C11","10u","CP_EIA-3528-12_Kemet-T_HandSolder",160.850000,-99.800000,-90.000000,top
"C13","10u","CP_EIA-3528-12_Kemet-T_HandSolder",173.900000,-88.100000,-90.000000,top
"C14","10u","CP_EIA-3528-12_Kemet-T_HandSolder",147.350000,-99.900000,-90.000000,top
"C16","10u","CP_EIA-3528-12_Kemet-T_HandSolder",117.125000,-99.525000,-90.000000,top
"C18","10u","CP_EIA-3528-12_Kemet-T_HandSolder",130.150000,-99.525000,-90.000000,top
"C20","10u","CP_EIA-3528-12_Kemet-T_HandSolder",145.750000,-87.362500,180.000000,top
"C21","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.250000,-88.500000,0.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",187.000000,-84.750000,90.000000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.250000,-88.500000,180.000000,top
"C24","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.550000,-104.850000,0.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",183.050000,-101.350000,90.000000,top
"C26","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.400000,-101.100000,-90.000000,top
"C27","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.750000,-78.450000,-90.000000,top
"C28","10u","CP_EIA-3528-12_Kemet-T_HandSolder",130.900000,-78.875000,-90.000000,top
"C29","10u","CP_EIA-3528-12_Kemet-T_HandSolder",126.500000,-83.900000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.400000,-98.700000,180.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.825000,-73.650000,0.000000,top
"FB1","BLM21PG221SN1D","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.000000,-78.825000,-90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194-0001LF_Horizontal",194.725000,-71.575000,90.000000,top
"J4","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",160.300000,-78.465000,90.000000,top
"J10","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",114.900000,-89.600000,180.000000,top
"M1","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",155.150000,-126.200000,180.000000,top
"M2","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",148.275000,-121.100000,0.000000,top
"Q3","AON7422G","DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm",175.800000,-101.312500,90.000000,top
"Q4","AON7422G","DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm",179.750000,-84.787500,-90.000000,top
"R9","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.650000,-84.500000,0.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.750000,-81.250000,180.000000,top
"R11","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",185.500000,-96.000000,0.000000,top
"R12","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.700000,-86.600000,0.000000,top
"R13","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.400000,-102.100000,180.000000,top
"R14","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.725000,-73.625000,180.000000,top
"R15","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.700000,-68.500000,-90.000000,top
"R17","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.425000,-88.825000,180.000000,top
"Sw_Pwr1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",181.625000,-92.525000,90.000000,top
"TF1","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",178.925000,-72.785000,0.000000,top
"TF2","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",186.160000,-72.735000,0.000000,top
"TF3","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",114.675000,-73.285000,0.000000,top
"TF4","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",121.850000,-73.275000,0.000000,top
"U4","STM32G431CBT6","LQFP-48_7x7mm_P0.5mm",143.150000,-78.062500,-90.000000,top
"U6","LM74700QDBVRQ1","SOT-23-6_Handsoldering",184.000000,-84.750000,-90.000000,top
"U7","LM74700QDBVTQ1","SOT-23-6_Handsoldering",180.050000,-101.350000,-90.000000,top
"U11","LD1117S33TR_SOT223","SOT-223-3_TabPin2",167.500000,-88.100000,180.000000,top
